Class,Category,Count
Healthy,Healthy,3764
Tungro virus,Pest,3480
Bệnh Cháy lá ( Leaf scald ),Disease,3340
Bệnh Đốm Vằn ( Khô vằn ) ( Sheath Blight ),Disease,3156
Bệnh Đốm Nâu ( Brown spot ),Disease,3140
Bệnh Bạc lá (Bacterial leaf blight),Disease,2950
Sâu gai ( Hispa ),Pest,2922
Bệnh Gạch Nâu ( Narrow Brown Spot ),Disease,2832
Bệnh Đạo ôn lá và cổ bông (Rice leaf and neck blast),Disease,2000
Sâu năn ( Muỗi hành )(Rice Gall Midge),Pest,1582
Sâu đục thân (Sọc nâu )( Chilo suppressalis ),Pest,1490
Sâu cuốn lá nhỏ ( Rice leaf folder),Pest,1210
Bọ trĩ ( Thrips ),Pest,1160
Sâu cuốn lá lớn ( Rice skipper),Pest,950
Sâu đục thân (Rice yellow stem borer),Pest,910
N,Nutrition,880
K,Nutrition,766
P,Nutrition,666
Rầy Nâu (Brown Plant Hopper),Pest,580
Bệnh lúa von (lúa đực) (Rice bakanae disease),Disease,100
Bệnh Than Vàng ( False Smut ),Disease,100
