iterations,depth,learning_rate,train_score,val_score,time
200,8,0.01,0.9889610389610389,0.9954545454545455,18.36799144744873
100,10,0.01,0.9844155844155844,0.990909090909091,35.233877658843994
100,6,0.1,0.9993506493506493,0.990909090909091,2.4308688640594482
200,6,0.1,1.0,0.990909090909091,4.682825565338135
200,10,0.01,0.9896103896103896,0.990909090909091,72.27126383781433
300,10,0.01,0.9922077922077922,0.990909090909091,109.4145040512085
300,8,0.01,0.9915584415584415,0.990909090909091,28.116511344909668
300,8,0.1,1.0,0.990909090909091,28.296265602111816
100,8,0.01,0.9818181818181818,0.990909090909091,9.41144585609436
200,8,0.1,1.0,0.990909090909091,18.589261531829834
100,10,0.1,1.0,0.9863636363636363,36.52244305610657
300,6,0.1,1.0,0.9863636363636363,7.084245204925537
300,10,0.1,1.0,0.9863636363636363,109.81981658935547
300,6,0.3,1.0,0.9863636363636363,7.047457218170166
200,10,0.1,1.0,0.9863636363636363,72.37055397033691
100,8,0.1,0.9993506493506493,0.9863636363636363,9.410142660140991
200,6,0.01,0.9850649350649351,0.9863636363636363,4.566328048706055
300,6,0.01,0.9889610389610389,0.9863636363636363,6.978131294250488
100,8,0.3,1.0,0.9818181818181818,9.377071380615234
300,8,0.3,1.0,0.9818181818181818,28.33658266067505
100,10,0.3,1.0,0.9818181818181818,35.06398344039917
100,6,0.01,0.9772727272727273,0.9818181818181818,2.438037395477295
200,8,0.3,1.0,0.9818181818181818,18.787742376327515
300,10,0.3,1.0,0.9818181818181818,106.7662124633789
200,10,0.3,1.0,0.9818181818181818,72.76580262184143
200,6,0.3,1.0,0.9772727272727273,4.650846242904663
100,6,0.3,1.0,0.9727272727272728,2.3832969665527344
