n_estimators,max_depth,num_leaves,train_score,val_score,time
100,6,15,1.0,0.990909090909091,0.2580697536468506
100,6,31,1.0,0.990909090909091,0.3315563201904297
100,6,63,1.0,0.990909090909091,0.34966564178466797
100,8,15,1.0,0.990909090909091,0.26665782928466797
100,8,31,1.0,0.990909090909091,0.3956112861633301
100,8,63,1.0,0.990909090909091,0.468097448348999
100,10,15,1.0,0.990909090909091,0.25917482376098633
100,10,31,1.0,0.990909090909091,0.4149143695831299
100,10,63,1.0,0.990909090909091,0.5639781951904297
200,6,15,1.0,0.990909090909091,0.3295736312866211
200,6,31,1.0,0.990909090909091,0.4219627380371094
200,6,63,1.0,0.990909090909091,0.44411563873291016
200,8,15,1.0,0.990909090909091,0.3476076126098633
200,8,63,1.0,0.990909090909091,0.5834903717041016
200,10,15,1.0,0.990909090909091,0.3494248390197754
200,10,63,1.0,0.990909090909091,0.6517148017883301
200,10,31,1.0,0.990909090909091,0.5151259899139404
300,6,15,1.0,0.990909090909091,0.41466665267944336
300,6,31,1.0,0.990909090909091,0.5010230541229248
300,10,31,1.0,0.990909090909091,0.6109693050384521
300,6,63,1.0,0.990909090909091,0.5197689533233643
300,8,15,1.0,0.990909090909091,0.5034661293029785
300,8,63,1.0,0.990909090909091,0.6841838359832764
300,10,63,1.0,0.990909090909091,0.7870118618011475
300,10,15,1.0,0.990909090909091,0.4263424873352051
200,8,31,1.0,0.9863636363636363,0.4923725128173828
300,8,31,1.0,0.9863636363636363,0.8159313201904297
